YEAR,PRIM_CONTRIBUTORY_CAUSE,COUNT
2021,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,163
2021,TEXTING,45
2021,TURNING RIGHT ON RED,82
2021,UNABLE TO DETERMINE,44393
2021,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),513
2021,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",666
2021,WEATHER,1743
2022,ANIMAL,83
2022,BICYCLE ADVANCING LEGALLY ON RED LIGHT,4
2022,CELL PHONE USE OTHER THAN TEXTING,125
2022,DISREGARDING OTHER TRAFFIC SIGNS,232
2022,DISREGARDING ROAD MARKINGS,119
2022,DISREGARDING STOP SIGN,1117
2022,DISREGARDING TRAFFIC SIGNALS,2303
2022,DISREGARDING YIELD SIGN,30
2022,DISTRACTION - FROM INSIDE VEHICLE,626
2022,DISTRACTION - FROM OUTSIDE VEHICLE,398
2022,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",45
2022,DRIVING ON WRONG SIDE/WRONG WAY,651
2022,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,3850
2022,EQUIPMENT - VEHICLE CONDITION,665
2022,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",207
2022,FAILING TO REDUCE SPEED TO AVOID CRASH,4277
2022,FAILING TO YIELD RIGHT-OF-WAY,11689
2022,FOLLOWING TOO CLOSELY,9072
2022,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),103
2022,IMPROPER BACKING,3535
2022,IMPROPER LANE USAGE,3474
2022,IMPROPER OVERTAKING/PASSING,5479
2022,IMPROPER TURNING/NO SIGNAL,3534
2022,MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,1
2022,NOT APPLICABLE,5042
2022,OBSTRUCTED CROSSWALKS,16
2022,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",1320
2022,PASSING STOPPED SCHOOL BUS,11
2022,PHYSICAL CONDITION OF DRIVER,671
2022,RELATED TO BUS STOP,68
2022,ROAD CONSTRUCTION/MAINTENANCE,185
2022,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,261
2022,TEXTING,27
2022,TURNING RIGHT ON RED,72
2022,UNABLE TO DETERMINE,45290
2022,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),391
2022,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",522
2022,WEATHER,1661
2023,ANIMAL,73
2023,BICYCLE ADVANCING LEGALLY ON RED LIGHT,2
2023,CELL PHONE USE OTHER THAN TEXTING,102
2023,DISREGARDING OTHER TRAFFIC SIGNS,167
2023,DISREGARDING ROAD MARKINGS,60
2023,DISREGARDING STOP SIGN,778
2023,DISREGARDING TRAFFIC SIGNALS,1763
2023,DISREGARDING YIELD SIGN,21
2023,DISTRACTION - FROM INSIDE VEHICLE,535
2023,DISTRACTION - FROM OUTSIDE VEHICLE,259
2023,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",40
2023,DRIVING ON WRONG SIDE/WRONG WAY,555
2023,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,3431
2023,EQUIPMENT - VEHICLE CONDITION,462
2023,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",137
2023,FAILING TO REDUCE SPEED TO AVOID CRASH,3325
2023,FAILING TO YIELD RIGHT-OF-WAY,9593
2023,FOLLOWING TOO CLOSELY,7350
2023,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),61
2023,IMPROPER BACKING,2761
2023,IMPROPER LANE USAGE,2521
2023,IMPROPER OVERTAKING/PASSING,4730
2023,IMPROPER TURNING/NO SIGNAL,2971
2023,MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,2
2023,NOT APPLICABLE,4789
2023,OBSTRUCTED CROSSWALKS,14
2023,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",1102
2023,PASSING STOPPED SCHOOL BUS,4
2023,PHYSICAL CONDITION OF DRIVER,469
2023,RELATED TO BUS STOP,67
2023,ROAD CONSTRUCTION/MAINTENANCE,142
2023,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,161
2023,TEXTING,25
2023,TURNING RIGHT ON RED,92
2023,UNABLE TO DETERMINE,36072
2023,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),287
2023,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",480
2023,WEATHER,818
