ROAD_DEFECT,DEVICE_CONDITION,YEAR,INJURIES_FATAL
NO DEFECTS,NO CONTROLS,2020,44672
NO DEFECTS,NO CONTROLS,2021,52015
NO DEFECTS,NO CONTROLS,2022,49281
NO DEFECTS,NO CONTROLS,2023,37404
NO DEFECTS,NOT FUNCTIONING,2015,31
NO DEFECTS,NOT FUNCTIONING,2016,123
NO DEFECTS,NOT FUNCTIONING,2017,241
NO DEFECTS,NOT FUNCTIONING,2018,363
NO DEFECTS,NOT FUNCTIONING,2019,301
NO DEFECTS,NOT FUNCTIONING,2020,290
NO DEFECTS,NOT FUNCTIONING,2021,257
NO DEFECTS,NOT FUNCTIONING,2022,211
NO DEFECTS,NOT FUNCTIONING,2023,137
NO DEFECTS,OTHER,2015,61
NO DEFECTS,OTHER,2016,211
NO DEFECTS,OTHER,2017,396
NO DEFECTS,OTHER,2018,650
NO DEFECTS,OTHER,2019,787
NO DEFECTS,OTHER,2020,607
NO DEFECTS,OTHER,2021,600
NO DEFECTS,OTHER,2022,566
NO DEFECTS,OTHER,2023,392
NO DEFECTS,UNKNOWN,2015,93
NO DEFECTS,UNKNOWN,2016,660
NO DEFECTS,UNKNOWN,2017,1193
NO DEFECTS,UNKNOWN,2018,1930
NO DEFECTS,UNKNOWN,2019,2186
NO DEFECTS,UNKNOWN,2020,1742
NO DEFECTS,UNKNOWN,2021,1709
NO DEFECTS,UNKNOWN,2022,1857
NO DEFECTS,UNKNOWN,2023,2047
NO DEFECTS,WORN REFLECTIVE MATERIAL,2015,1
NO DEFECTS,WORN REFLECTIVE MATERIAL,2016,11
NO DEFECTS,WORN REFLECTIVE MATERIAL,2017,29
NO DEFECTS,WORN REFLECTIVE MATERIAL,2018,47
NO DEFECTS,WORN REFLECTIVE MATERIAL,2019,32
NO DEFECTS,WORN REFLECTIVE MATERIAL,2020,24
NO DEFECTS,WORN REFLECTIVE MATERIAL,2021,17
NO DEFECTS,WORN REFLECTIVE MATERIAL,2022,14
NO DEFECTS,WORN REFLECTIVE MATERIAL,2023,9
OTHER,FUNCTIONING IMPROPERLY,2016,4
OTHER,FUNCTIONING IMPROPERLY,2017,2
OTHER,FUNCTIONING IMPROPERLY,2018,5
OTHER,FUNCTIONING IMPROPERLY,2019,5
OTHER,FUNCTIONING IMPROPERLY,2020,2
OTHER,FUNCTIONING IMPROPERLY,2021,2
OTHER,FUNCTIONING IMPROPERLY,2022,5
OTHER,FUNCTIONING IMPROPERLY,2023,1
OTHER,FUNCTIONING PROPERLY,2015,22
OTHER,FUNCTIONING PROPERLY,2016,97
OTHER,FUNCTIONING PROPERLY,2017,152
OTHER,FUNCTIONING PROPERLY,2018,269
OTHER,FUNCTIONING PROPERLY,2019,179
OTHER,FUNCTIONING PROPERLY,2020,102
OTHER,FUNCTIONING PROPERLY,2021,157
OTHER,FUNCTIONING PROPERLY,2022,140
OTHER,FUNCTIONING PROPERLY,2023,103
OTHER,MISSING,2018,1
OTHER,MISSING,2019,2
OTHER,MISSING,2022,2
OTHER,MISSING,2023,1
OTHER,NO CONTROLS,2015,45
OTHER,NO CONTROLS,2016,121
OTHER,NO CONTROLS,2017,254
OTHER,NO CONTROLS,2018,469
OTHER,NO CONTROLS,2019,365
OTHER,NO CONTROLS,2020,254
OTHER,NO CONTROLS,2021,371
OTHER,NO CONTROLS,2022,337
OTHER,NO CONTROLS,2023,251
OTHER,NOT FUNCTIONING,2017,4
OTHER,NOT FUNCTIONING,2018,4
OTHER,NOT FUNCTIONING,2019,1
OTHER,NOT FUNCTIONING,2020,2
OTHER,NOT FUNCTIONING,2022,4
OTHER,NOT FUNCTIONING,2023,1
OTHER,OTHER,2016,11
OTHER,OTHER,2017,17
OTHER,OTHER,2018,41
OTHER,OTHER,2019,36
OTHER,OTHER,2020,20
OTHER,OTHER,2021,32
OTHER,OTHER,2022,34
OTHER,OTHER,2023,29
OTHER,UNKNOWN,2016,16
OTHER,UNKNOWN,2017,17
OTHER,UNKNOWN,2018,32
OTHER,UNKNOWN,2019,30
OTHER,UNKNOWN,2020,21
OTHER,UNKNOWN,2021,34
OTHER,UNKNOWN,2022,50
OTHER,UNKNOWN,2023,43
OTHER,WORN REFLECTIVE MATERIAL,2017,3
OTHER,WORN REFLECTIVE MATERIAL,2018,1
OTHER,WORN REFLECTIVE MATERIAL,2019,1
OTHER,WORN REFLECTIVE MATERIAL,2022,2
OTHER,WORN REFLECTIVE MATERIAL,2023,2
"RUT, HOLES",FUNCTIONING IMPROPERLY,2015,1
"RUT, HOLES",FUNCTIONING IMPROPERLY,2017,3
"RUT, HOLES",FUNCTIONING IMPROPERLY,2018,8
"RUT, HOLES",FUNCTIONING IMPROPERLY,2019,5
"RUT, HOLES",FUNCTIONING IMPROPERLY,2021,2
"RUT, HOLES",FUNCTIONING IMPROPERLY,2022,1
"RUT, HOLES",FUNCTIONING PROPERLY,2015,23
"RUT, HOLES",FUNCTIONING PROPERLY,2016,135
"RUT, HOLES",FUNCTIONING PROPERLY,2017,172
"RUT, HOLES",FUNCTIONING PROPERLY,2018,232
"RUT, HOLES",FUNCTIONING PROPERLY,2019,287
"RUT, HOLES",FUNCTIONING PROPERLY,2020,84
"RUT, HOLES",FUNCTIONING PROPERLY,2021,101
"RUT, HOLES",FUNCTIONING PROPERLY,2022,105
"RUT, HOLES",FUNCTIONING PROPERLY,2023,51
"RUT, HOLES",MISSING,2017,1
"RUT, HOLES",MISSING,2018,1
"RUT, HOLES",MISSING,2019,1
"RUT, HOLES",MISSING,2022,1
"RUT, HOLES",NO CONTROLS,2015,77
"RUT, HOLES",NO CONTROLS,2016,288
"RUT, HOLES",NO CONTROLS,2017,533
"RUT, HOLES",NO CONTROLS,2018,812
"RUT, HOLES",NO CONTROLS,2019,1095
"RUT, HOLES",NO CONTROLS,2020,334
"RUT, HOLES",NO CONTROLS,2021,346
"RUT, HOLES",NO CONTROLS,2022,497
"RUT, HOLES",NO CONTROLS,2023,285
"RUT, HOLES",NOT FUNCTIONING,2015,1
"RUT, HOLES",NOT FUNCTIONING,2016,2
"RUT, HOLES",NOT FUNCTIONING,2017,1
"RUT, HOLES",NOT FUNCTIONING,2018,8
"RUT, HOLES",NOT FUNCTIONING,2019,6
"RUT, HOLES",NOT FUNCTIONING,2020,1
"RUT, HOLES",NOT FUNCTIONING,2021,3
"RUT, HOLES",NOT FUNCTIONING,2022,1
"RUT, HOLES",NOT FUNCTIONING,2023,1
"RUT, HOLES",OTHER,2016,4
"RUT, HOLES",OTHER,2017,2
"RUT, HOLES",OTHER,2018,4
"RUT, HOLES",OTHER,2019,15
"RUT, HOLES",OTHER,2020,7
"RUT, HOLES",OTHER,2021,4
"RUT, HOLES",OTHER,2022,3
"RUT, HOLES",OTHER,2023,5
"RUT, HOLES",UNKNOWN,2015,3
"RUT, HOLES",UNKNOWN,2016,18
"RUT, HOLES",UNKNOWN,2017,27
"RUT, HOLES",UNKNOWN,2018,59
"RUT, HOLES",UNKNOWN,2019,90
"RUT, HOLES",UNKNOWN,2020,20
"RUT, HOLES",UNKNOWN,2021,26
"RUT, HOLES",UNKNOWN,2022,35
"RUT, HOLES",UNKNOWN,2023,40
"RUT, HOLES",WORN REFLECTIVE MATERIAL,2017,2
"RUT, HOLES",WORN REFLECTIVE MATERIAL,2018,1
"RUT, HOLES",WORN REFLECTIVE MATERIAL,2022,1
SHOULDER DEFECT,FUNCTIONING IMPROPERLY,2016,1
SHOULDER DEFECT,FUNCTIONING IMPROPERLY,2017,5
SHOULDER DEFECT,FUNCTIONING IMPROPERLY,2018,1
SHOULDER DEFECT,FUNCTIONING IMPROPERLY,2020,2
SHOULDER DEFECT,FUNCTIONING PROPERLY,2015,6
SHOULDER DEFECT,FUNCTIONING PROPERLY,2016,35
SHOULDER DEFECT,FUNCTIONING PROPERLY,2017,82
SHOULDER DEFECT,FUNCTIONING PROPERLY,2018,73
SHOULDER DEFECT,FUNCTIONING PROPERLY,2019,71
SHOULDER DEFECT,FUNCTIONING PROPERLY,2020,71
SHOULDER DEFECT,FUNCTIONING PROPERLY,2021,70
SHOULDER DEFECT,FUNCTIONING PROPERLY,2022,39
SHOULDER DEFECT,FUNCTIONING PROPERLY,2023,26
SHOULDER DEFECT,MISSING,2019,2
SHOULDER DEFECT,MISSING,2023,1
SHOULDER DEFECT,NO CONTROLS,2015,8
SHOULDER DEFECT,NO CONTROLS,2016,56
SHOULDER DEFECT,NO CONTROLS,2017,114
SHOULDER DEFECT,NO CONTROLS,2018,169
SHOULDER DEFECT,NO CONTROLS,2019,142
SHOULDER DEFECT,NO CONTROLS,2020,117
SHOULDER DEFECT,NO CONTROLS,2021,120
SHOULDER DEFECT,NO CONTROLS,2022,76
SHOULDER DEFECT,NO CONTROLS,2023,55
SHOULDER DEFECT,NOT FUNCTIONING,2016,1
SHOULDER DEFECT,NOT FUNCTIONING,2017,12
SHOULDER DEFECT,NOT FUNCTIONING,2018,4
SHOULDER DEFECT,NOT FUNCTIONING,2019,7
SHOULDER DEFECT,NOT FUNCTIONING,2020,4
SHOULDER DEFECT,NOT FUNCTIONING,2021,4
SHOULDER DEFECT,NOT FUNCTIONING,2023,1
SHOULDER DEFECT,OTHER,2017,2
SHOULDER DEFECT,OTHER,2018,3
SHOULDER DEFECT,OTHER,2019,2
SHOULDER DEFECT,OTHER,2020,2
SHOULDER DEFECT,OTHER,2022,1
SHOULDER DEFECT,UNKNOWN,2016,3
SHOULDER DEFECT,UNKNOWN,2017,1
SHOULDER DEFECT,UNKNOWN,2018,5
SHOULDER DEFECT,UNKNOWN,2019,8
SHOULDER DEFECT,UNKNOWN,2020,5
SHOULDER DEFECT,UNKNOWN,2021,4
SHOULDER DEFECT,UNKNOWN,2022,3
SHOULDER DEFECT,UNKNOWN,2023,3
UNKNOWN,FUNCTIONING IMPROPERLY,2015,14
UNKNOWN,FUNCTIONING IMPROPERLY,2016,27
UNKNOWN,FUNCTIONING IMPROPERLY,2017,43
UNKNOWN,FUNCTIONING IMPROPERLY,2018,52
UNKNOWN,FUNCTIONING IMPROPERLY,2019,55
UNKNOWN,FUNCTIONING IMPROPERLY,2020,53
UNKNOWN,FUNCTIONING IMPROPERLY,2021,52
UNKNOWN,FUNCTIONING IMPROPERLY,2022,58
UNKNOWN,FUNCTIONING IMPROPERLY,2023,46
UNKNOWN,FUNCTIONING PROPERLY,2015,458
UNKNOWN,FUNCTIONING PROPERLY,2016,1700
UNKNOWN,FUNCTIONING PROPERLY,2017,2644
UNKNOWN,FUNCTIONING PROPERLY,2018,3755
UNKNOWN,FUNCTIONING PROPERLY,2019,4323
UNKNOWN,FUNCTIONING PROPERLY,2020,3547
UNKNOWN,FUNCTIONING PROPERLY,2021,4862
UNKNOWN,FUNCTIONING PROPERLY,2022,5440
UNKNOWN,FUNCTIONING PROPERLY,2023,4796
UNKNOWN,MISSING,2017,1
UNKNOWN,MISSING,2019,3
UNKNOWN,MISSING,2021,5
UNKNOWN,MISSING,2022,2
UNKNOWN,MISSING,2023,1
UNKNOWN,NO CONTROLS,2014,1
UNKNOWN,NO CONTROLS,2015,845
UNKNOWN,NO CONTROLS,2016,3519
UNKNOWN,NO CONTROLS,2017,5502
UNKNOWN,NO CONTROLS,2018,7542
UNKNOWN,NO CONTROLS,2019,8049
UNKNOWN,NO CONTROLS,2020,7052
UNKNOWN,NO CONTROLS,2021,9876
UNKNOWN,NO CONTROLS,2022,10796
UNKNOWN,NO CONTROLS,2023,9035
UNKNOWN,NOT FUNCTIONING,2015,5
UNKNOWN,NOT FUNCTIONING,2016,15
UNKNOWN,NOT FUNCTIONING,2017,19
UNKNOWN,NOT FUNCTIONING,2018,29
UNKNOWN,NOT FUNCTIONING,2019,26
UNKNOWN,NOT FUNCTIONING,2020,37
UNKNOWN,NOT FUNCTIONING,2021,40
UNKNOWN,NOT FUNCTIONING,2022,31
UNKNOWN,NOT FUNCTIONING,2023,31
UNKNOWN,OTHER,2015,25
UNKNOWN,OTHER,2016,58
UNKNOWN,OTHER,2017,140
UNKNOWN,OTHER,2018,150
UNKNOWN,OTHER,2019,171
UNKNOWN,OTHER,2020,133
UNKNOWN,OTHER,2021,172
UNKNOWN,OTHER,2022,198
UNKNOWN,OTHER,2023,165
UNKNOWN,UNKNOWN,2015,463
UNKNOWN,UNKNOWN,2016,2179
UNKNOWN,UNKNOWN,2017,2788
UNKNOWN,UNKNOWN,2018,4145
UNKNOWN,UNKNOWN,2019,4259
UNKNOWN,UNKNOWN,2020,3359
UNKNOWN,UNKNOWN,2021,4749
UNKNOWN,UNKNOWN,2022,6239
UNKNOWN,UNKNOWN,2023,7125
UNKNOWN,WORN REFLECTIVE MATERIAL,2015,1
UNKNOWN,WORN REFLECTIVE MATERIAL,2016,3
UNKNOWN,WORN REFLECTIVE MATERIAL,2017,2
UNKNOWN,WORN REFLECTIVE MATERIAL,2018,1
UNKNOWN,WORN REFLECTIVE MATERIAL,2019,1
UNKNOWN,WORN REFLECTIVE MATERIAL,2020,1
UNKNOWN,WORN REFLECTIVE MATERIAL,2021,2
UNKNOWN,WORN REFLECTIVE MATERIAL,2022,3
UNKNOWN,WORN REFLECTIVE MATERIAL,2023,3
WORN SURFACE,FUNCTIONING IMPROPERLY,2015,1
WORN SURFACE,FUNCTIONING IMPROPERLY,2016,1
WORN SURFACE,FUNCTIONING IMPROPERLY,2018,5
WORN SURFACE,FUNCTIONING IMPROPERLY,2021,1
WORN SURFACE,FUNCTIONING PROPERLY,2015,6
WORN SURFACE,FUNCTIONING PROPERLY,2016,105
WORN SURFACE,FUNCTIONING PROPERLY,2017,118
WORN SURFACE,FUNCTIONING PROPERLY,2018,181
WORN SURFACE,FUNCTIONING PROPERLY,2019,121
WORN SURFACE,FUNCTIONING PROPERLY,2020,108
WORN SURFACE,FUNCTIONING PROPERLY,2021,150
WORN SURFACE,FUNCTIONING PROPERLY,2022,148
WORN SURFACE,FUNCTIONING PROPERLY,2023,134
WORN SURFACE,NO CONTROLS,2015,21
WORN SURFACE,NO CONTROLS,2016,163
WORN SURFACE,NO CONTROLS,2017,217
WORN SURFACE,NO CONTROLS,2018,319
WORN SURFACE,NO CONTROLS,2019,231
WORN SURFACE,NO CONTROLS,2020,168
WORN SURFACE,NO CONTROLS,2021,297
WORN SURFACE,NO CONTROLS,2022,289
WORN SURFACE,NO CONTROLS,2023,170
WORN SURFACE,NOT FUNCTIONING,2016,1
WORN SURFACE,NOT FUNCTIONING,2017,1
WORN SURFACE,NOT FUNCTIONING,2018,1
WORN SURFACE,NOT FUNCTIONING,2019,1
WORN SURFACE,NOT FUNCTIONING,2021,2
WORN SURFACE,OTHER,2016,2
WORN SURFACE,OTHER,2017,2
WORN SURFACE,OTHER,2018,4
WORN SURFACE,OTHER,2019,6
WORN SURFACE,OTHER,2020,5
WORN SURFACE,OTHER,2021,3
WORN SURFACE,OTHER,2022,5
WORN SURFACE,OTHER,2023,4
WORN SURFACE,UNKNOWN,2016,6
WORN SURFACE,UNKNOWN,2017,9
WORN SURFACE,UNKNOWN,2018,12
WORN SURFACE,UNKNOWN,2019,11
WORN SURFACE,UNKNOWN,2020,6
WORN SURFACE,UNKNOWN,2021,6
WORN SURFACE,UNKNOWN,2022,16
WORN SURFACE,UNKNOWN,2023,10
WORN SURFACE,WORN REFLECTIVE MATERIAL,2017,9
WORN SURFACE,WORN REFLECTIVE MATERIAL,2018,23
WORN SURFACE,WORN REFLECTIVE MATERIAL,2019,9
WORN SURFACE,WORN REFLECTIVE MATERIAL,2020,4
WORN SURFACE,WORN REFLECTIVE MATERIAL,2021,3
WORN SURFACE,WORN REFLECTIVE MATERIAL,2022,5
WORN SURFACE,WORN REFLECTIVE MATERIAL,2023,2
