CRASH_HOUR,INJURIES_TOTAL,WEATHER_CONDITION,COUNT
12,4.0,RAIN,4
12,4.0,SLEET/HAIL,1
12,4.0,SNOW,5
12,5.0,CLEAR,21
12,5.0,CLOUDY/OVERCAST,1
12,5.0,RAIN,5
12,5.0,SNOW,1
12,5.0,UNKNOWN,1
12,6.0,CLEAR,12
12,6.0,RAIN,1
12,7.0,CLEAR,3
12,7.0,CLOUDY/OVERCAST,1
12,8.0,CLEAR,1
12,10.0,CLEAR,1
12,12.0,CLEAR,1
12,15.0,CLEAR,1
13,0.0,BLOWING SNOW,14
13,0.0,CLEAR,33060
13,0.0,CLOUDY/OVERCAST,1399
13,0.0,FOG/SMOKE/HAZE,35
13,0.0,FREEZING RAIN/DRIZZLE,32
13,0.0,OTHER,82
13,0.0,RAIN,2904
13,0.0,SEVERE CROSS WIND GATE,7
13,0.0,SLEET/HAIL,29
13,0.0,SNOW,1210
13,0.0,UNKNOWN,2018
13,1.0,BLOWING SNOW,1
13,1.0,CLEAR,3638
13,1.0,CLOUDY/OVERCAST,155
13,1.0,FOG/SMOKE/HAZE,4
13,1.0,FREEZING RAIN/DRIZZLE,5
13,1.0,OTHER,7
13,1.0,RAIN,387
13,1.0,SLEET/HAIL,2
13,1.0,SNOW,121
13,1.0,UNKNOWN,72
13,2.0,BLOWING SNOW,1
13,2.0,CLEAR,772
13,2.0,CLOUDY/OVERCAST,50
13,2.0,OTHER,2
13,2.0,RAIN,104
13,2.0,SEVERE CROSS WIND GATE,1
13,2.0,SLEET/HAIL,1
13,2.0,SNOW,29
13,2.0,UNKNOWN,11
13,3.0,CLEAR,243
13,3.0,CLOUDY/OVERCAST,12
13,3.0,OTHER,2
13,3.0,RAIN,33
13,3.0,SLEET/HAIL,1
13,3.0,SNOW,6
13,3.0,UNKNOWN,4
13,4.0,CLEAR,86
13,4.0,CLOUDY/OVERCAST,5
13,4.0,FOG/SMOKE/HAZE,1
13,4.0,RAIN,9
13,4.0,SNOW,1
13,4.0,UNKNOWN,5
13,5.0,CLEAR,35
13,5.0,CLOUDY/OVERCAST,2
13,5.0,FREEZING RAIN/DRIZZLE,1
13,5.0,RAIN,1
13,6.0,CLEAR,14
13,6.0,CLOUDY/OVERCAST,1
13,6.0,RAIN,1
13,7.0,CLEAR,3
13,7.0,CLOUDY/OVERCAST,1
13,8.0,CLEAR,4
13,8.0,CLOUDY/OVERCAST,1
13,9.0,CLEAR,1
13,13.0,CLEAR,1
13,15.0,SNOW,1
14,0.0,BLOWING SNOW,8
14,0.0,CLEAR,36490
14,0.0,CLOUDY/OVERCAST,1438
14,0.0,FOG/SMOKE/HAZE,33
14,0.0,FREEZING RAIN/DRIZZLE,54
14,0.0,OTHER,89
14,0.0,RAIN,3026
14,0.0,SEVERE CROSS WIND GATE,5
14,0.0,SLEET/HAIL,32
14,0.0,SNOW,1340
14,0.0,UNKNOWN,2375
14,1.0,BLOWING SNOW,2
14,1.0,CLEAR,4014
14,1.0,CLOUDY/OVERCAST,205
14,1.0,FOG/SMOKE/HAZE,3
14,1.0,FREEZING RAIN/DRIZZLE,5
14,1.0,OTHER,9
14,1.0,RAIN,407
14,1.0,SLEET/HAIL,4
14,1.0,SNOW,145
14,1.0,UNKNOWN,130
14,2.0,CLEAR,940
14,2.0,CLOUDY/OVERCAST,44
14,2.0,FOG/SMOKE/HAZE,3
14,2.0,FREEZING RAIN/DRIZZLE,1
14,2.0,RAIN,103
14,2.0,SLEET/HAIL,1
14,2.0,SNOW,32
14,2.0,UNKNOWN,15
14,3.0,CLEAR,258
14,3.0,CLOUDY/OVERCAST,20
14,3.0,FREEZING RAIN/DRIZZLE,1
14,3.0,RAIN,41
14,3.0,SNOW,18
14,3.0,UNKNOWN,1
14,4.0,CLEAR,77
14,4.0,CLOUDY/OVERCAST,4
14,4.0,FOG/SMOKE/HAZE,1
14,4.0,RAIN,11
14,4.0,SNOW,3
14,5.0,CLEAR,27
14,5.0,CLOUDY/OVERCAST,1
14,5.0,RAIN,2
14,5.0,SNOW,5
14,5.0,UNKNOWN,1
14,6.0,CLEAR,14
14,6.0,FREEZING RAIN/DRIZZLE,1
14,7.0,CLEAR,2
14,8.0,CLEAR,2
14,9.0,CLEAR,2
15,0.0,"BLOWING SAND, SOIL, DIRT",1
15,0.0,BLOWING SNOW,21
15,0.0,CLEAR,41929
15,0.0,CLOUDY/OVERCAST,1571
15,0.0,FOG/SMOKE/HAZE,33
15,0.0,FREEZING RAIN/DRIZZLE,61
15,0.0,OTHER,77
15,0.0,RAIN,3684
15,0.0,SEVERE CROSS WIND GATE,8
15,0.0,SLEET/HAIL,40
15,0.0,SNOW,1549
15,0.0,UNKNOWN,2610
15,1.0,BLOWING SNOW,4
15,1.0,CLEAR,4805
15,1.0,CLOUDY/OVERCAST,202
15,1.0,FOG/SMOKE/HAZE,6
15,1.0,FREEZING RAIN/DRIZZLE,13
15,1.0,OTHER,10
15,1.0,RAIN,481
15,1.0,SLEET/HAIL,5
15,1.0,SNOW,152
15,1.0,UNKNOWN,112
15,2.0,BLOWING SNOW,1
15,2.0,CLEAR,996
15,2.0,CLOUDY/OVERCAST,50
15,2.0,FREEZING RAIN/DRIZZLE,6
15,2.0,OTHER,5
15,2.0,RAIN,98
15,2.0,SNOW,25
15,2.0,UNKNOWN,15
15,3.0,CLEAR,271
15,3.0,CLOUDY/OVERCAST,14
15,3.0,RAIN,33
15,3.0,SNOW,8
15,3.0,UNKNOWN,5
15,4.0,CLEAR,96
15,4.0,CLOUDY/OVERCAST,2
15,4.0,RAIN,13
15,4.0,SNOW,2
15,4.0,UNKNOWN,1
15,5.0,CLEAR,34
15,5.0,CLOUDY/OVERCAST,2
15,5.0,RAIN,4
15,5.0,SNOW,3
15,6.0,CLEAR,16
15,6.0,CLOUDY/OVERCAST,1
15,7.0,CLEAR,4
15,7.0,RAIN,1
15,8.0,CLEAR,3
15,9.0,CLEAR,1
15,10.0,CLEAR,1
15,10.0,CLOUDY/OVERCAST,1
15,11.0,CLEAR,1
15,13.0,CLEAR,1
16,0.0,"BLOWING SAND, SOIL, DIRT",1
16,0.0,BLOWING SNOW,38
16,0.0,CLEAR,41263
16,0.0,CLOUDY/OVERCAST,1393
16,0.0,FOG/SMOKE/HAZE,39
16,0.0,FREEZING RAIN/DRIZZLE,62
16,0.0,OTHER,127
16,0.0,RAIN,3900
16,0.0,SEVERE CROSS WIND GATE,8
16,0.0,SLEET/HAIL,49
16,0.0,SNOW,1576
16,0.0,UNKNOWN,2589
16,1.0,BLOWING SNOW,5
16,1.0,CLEAR,4752
16,1.0,CLOUDY/OVERCAST,192
16,1.0,FOG/SMOKE/HAZE,5
16,1.0,FREEZING RAIN/DRIZZLE,12
16,1.0,OTHER,16
16,1.0,RAIN,504
