YEAR,WEATHER_CONDITION,PRIM_CONTRIBUTORY_CAUSE,COUNT
2015,CLOUDY/OVERCAST,EXCEEDING SAFE SPEED FOR CONDITIONS,3
2015,CLOUDY/OVERCAST,FAILING TO REDUCE SPEED TO AVOID CRASH,11
2015,CLOUDY/OVERCAST,FAILING TO YIELD RIGHT-OF-WAY,23
2015,CLOUDY/OVERCAST,FOLLOWING TOO CLOSELY,33
2015,CLOUDY/OVERCAST,IMPROPER BACKING,16
2015,CLOUDY/OVERCAST,IMPROPER LANE USAGE,6
2015,CLOUDY/OVERCAST,IMPROPER OVERTAKING/PASSING,17
2015,CLOUDY/OVERCAST,IMPROPER TURNING/NO SIGNAL,14
2015,CLOUDY/OVERCAST,NOT APPLICABLE,6
2015,CLOUDY/OVERCAST,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",1
2015,CLOUDY/OVERCAST,PHYSICAL CONDITION OF DRIVER,2
2015,CLOUDY/OVERCAST,ROAD CONSTRUCTION/MAINTENANCE,1
2015,CLOUDY/OVERCAST,UNABLE TO DETERMINE,106
2015,CLOUDY/OVERCAST,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",1
2015,FOG/SMOKE/HAZE,DISREGARDING STOP SIGN,1
2015,FOG/SMOKE/HAZE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2
2015,FOG/SMOKE/HAZE,FOLLOWING TOO CLOSELY,3
2015,FOG/SMOKE/HAZE,IMPROPER TURNING/NO SIGNAL,1
2015,FOG/SMOKE/HAZE,UNABLE TO DETERMINE,6
2015,OTHER,DISREGARDING STOP SIGN,1
2015,OTHER,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1
2015,OTHER,FAILING TO REDUCE SPEED TO AVOID CRASH,1
2015,OTHER,FOLLOWING TOO CLOSELY,2
2015,OTHER,IMPROPER BACKING,2
2015,OTHER,IMPROPER LANE USAGE,1
2015,OTHER,IMPROPER OVERTAKING/PASSING,2
2015,OTHER,IMPROPER TURNING/NO SIGNAL,2
2015,OTHER,NOT APPLICABLE,2
2015,OTHER,UNABLE TO DETERMINE,12
2015,OTHER,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),1
2015,RAIN,ANIMAL,1
2015,RAIN,CELL PHONE USE OTHER THAN TEXTING,1
2015,RAIN,DISREGARDING OTHER TRAFFIC SIGNS,3
2015,RAIN,DISREGARDING ROAD MARKINGS,1
2015,RAIN,DISREGARDING STOP SIGN,5
2015,RAIN,DISREGARDING TRAFFIC SIGNALS,8
2015,RAIN,DISTRACTION - FROM INSIDE VEHICLE,6
2015,RAIN,DISTRACTION - FROM OUTSIDE VEHICLE,3
2015,RAIN,DRIVING ON WRONG SIDE/WRONG WAY,4
2015,RAIN,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,28
2015,RAIN,EQUIPMENT - VEHICLE CONDITION,6
2015,RAIN,EXCEEDING AUTHORIZED SPEED LIMIT,5
2015,RAIN,EXCEEDING SAFE SPEED FOR CONDITIONS,15
2015,RAIN,FAILING TO REDUCE SPEED TO AVOID CRASH,30
2015,RAIN,FAILING TO YIELD RIGHT-OF-WAY,94
2015,RAIN,FOLLOWING TOO CLOSELY,169
2015,RAIN,IMPROPER BACKING,45
2015,RAIN,IMPROPER LANE USAGE,41
2015,RAIN,IMPROPER OVERTAKING/PASSING,37
2015,RAIN,IMPROPER TURNING/NO SIGNAL,38
2015,RAIN,NOT APPLICABLE,59
2015,RAIN,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",7
2015,RAIN,PHYSICAL CONDITION OF DRIVER,2
2015,RAIN,ROAD CONSTRUCTION/MAINTENANCE,2
2015,RAIN,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,3
2015,RAIN,TEXTING,1
2015,RAIN,TURNING RIGHT ON RED,1
2015,RAIN,UNABLE TO DETERMINE,290
2015,RAIN,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),2
2015,RAIN,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",4
2015,RAIN,WEATHER,54
2015,SEVERE CROSS WIND GATE,FAILING TO YIELD RIGHT-OF-WAY,1
2015,SEVERE CROSS WIND GATE,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,1
2015,SEVERE CROSS WIND GATE,UNABLE TO DETERMINE,1
2015,SLEET/HAIL,DISREGARDING TRAFFIC SIGNALS,1
2015,SLEET/HAIL,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1
2015,SLEET/HAIL,FAILING TO YIELD RIGHT-OF-WAY,1
2015,SLEET/HAIL,IMPROPER BACKING,1
2015,SLEET/HAIL,IMPROPER OVERTAKING/PASSING,1
2015,SLEET/HAIL,NOT APPLICABLE,1
2015,SLEET/HAIL,UNABLE TO DETERMINE,7
2015,SLEET/HAIL,WEATHER,8
2015,SNOW,CELL PHONE USE OTHER THAN TEXTING,1
2015,SNOW,DISREGARDING TRAFFIC SIGNALS,1
2015,SNOW,DISTRACTION - FROM OUTSIDE VEHICLE,2
2015,SNOW,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,8
2015,SNOW,EQUIPMENT - VEHICLE CONDITION,1
2015,SNOW,EXCEEDING AUTHORIZED SPEED LIMIT,2
2015,SNOW,EXCEEDING SAFE SPEED FOR CONDITIONS,12
2015,SNOW,FAILING TO REDUCE SPEED TO AVOID CRASH,6
2015,SNOW,FAILING TO YIELD RIGHT-OF-WAY,21
2015,SNOW,FOLLOWING TOO CLOSELY,23
2015,SNOW,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),1
2015,SNOW,IMPROPER BACKING,10
2015,SNOW,IMPROPER LANE USAGE,15
2015,SNOW,IMPROPER OVERTAKING/PASSING,7
2015,SNOW,IMPROPER TURNING/NO SIGNAL,7
2015,SNOW,NOT APPLICABLE,15
2015,SNOW,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",4
2015,SNOW,PHYSICAL CONDITION OF DRIVER,2
2015,SNOW,ROAD CONSTRUCTION/MAINTENANCE,2
2015,SNOW,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,1
2015,SNOW,UNABLE TO DETERMINE,80
2015,SNOW,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),1
2015,SNOW,WEATHER,67
2015,UNKNOWN,ANIMAL,1
2015,UNKNOWN,DISREGARDING STOP SIGN,1
2015,UNKNOWN,DISREGARDING TRAFFIC SIGNALS,2
2015,UNKNOWN,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,8
2015,UNKNOWN,EXCEEDING AUTHORIZED SPEED LIMIT,1
2015,UNKNOWN,EXCEEDING SAFE SPEED FOR CONDITIONS,1
2015,UNKNOWN,FAILING TO REDUCE SPEED TO AVOID CRASH,7
2015,UNKNOWN,FAILING TO YIELD RIGHT-OF-WAY,26
2015,UNKNOWN,FOLLOWING TOO CLOSELY,37
2015,UNKNOWN,IMPROPER BACKING,23
2015,UNKNOWN,IMPROPER LANE USAGE,11
2015,UNKNOWN,IMPROPER OVERTAKING/PASSING,35
2015,UNKNOWN,IMPROPER TURNING/NO SIGNAL,11
2015,UNKNOWN,NOT APPLICABLE,191
2015,UNKNOWN,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",3
2015,UNKNOWN,PHYSICAL CONDITION OF DRIVER,3
2015,UNKNOWN,ROAD CONSTRUCTION/MAINTENANCE,3
2015,UNKNOWN,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,1
2015,UNKNOWN,UNABLE TO DETERMINE,397
2016,CLEAR,ANIMAL,21
2016,CLEAR,BICYCLE ADVANCING LEGALLY ON RED LIGHT,6
2016,CLEAR,CELL PHONE USE OTHER THAN TEXTING,39
2016,CLEAR,DISREGARDING OTHER TRAFFIC SIGNS,49
2016,CLEAR,DISREGARDING ROAD MARKINGS,33
2016,CLEAR,DISREGARDING STOP SIGN,307
2016,CLEAR,DISREGARDING TRAFFIC SIGNALS,344
2016,CLEAR,DISREGARDING YIELD SIGN,9
2016,CLEAR,DISTRACTION - FROM INSIDE VEHICLE,251
2016,CLEAR,DISTRACTION - FROM OUTSIDE VEHICLE,138
2016,CLEAR,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",13
2016,CLEAR,DRIVING ON WRONG SIDE/WRONG WAY,114
2016,CLEAR,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1471
2016,CLEAR,EQUIPMENT - VEHICLE CONDITION,98
2016,CLEAR,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",51
2016,CLEAR,EXCEEDING AUTHORIZED SPEED LIMIT,209
2016,CLEAR,EXCEEDING SAFE SPEED FOR CONDITIONS,82
2016,CLEAR,FAILING TO REDUCE SPEED TO AVOID CRASH,1028
2016,CLEAR,FAILING TO YIELD RIGHT-OF-WAY,3558
2016,CLEAR,FOLLOWING TOO CLOSELY,4622
2016,CLEAR,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),33
2016,CLEAR,IMPROPER BACKING,2021
2016,CLEAR,IMPROPER LANE USAGE,1555
2016,CLEAR,IMPROPER OVERTAKING/PASSING,2006
2016,CLEAR,IMPROPER TURNING/NO SIGNAL,1164
2016,CLEAR,NOT APPLICABLE,1849
2016,CLEAR,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",289
2016,CLEAR,PASSING STOPPED SCHOOL BUS,5
2016,CLEAR,PHYSICAL CONDITION OF DRIVER,119
2016,CLEAR,ROAD CONSTRUCTION/MAINTENANCE,83
2016,CLEAR,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,83
2016,CLEAR,TEXTING,14
2016,CLEAR,TURNING RIGHT ON RED,25
2016,CLEAR,UNABLE TO DETERMINE,13221
2016,CLEAR,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),61
2016,CLEAR,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",124
2016,CLEAR,WEATHER,115
2016,CLOUDY/OVERCAST,ANIMAL,1
2016,CLOUDY/OVERCAST,CELL PHONE USE OTHER THAN TEXTING,2
2016,CLOUDY/OVERCAST,DISREGARDING OTHER TRAFFIC SIGNS,2
2016,CLOUDY/OVERCAST,DISREGARDING ROAD MARKINGS,1
2016,CLOUDY/OVERCAST,DISREGARDING STOP SIGN,11
2016,CLOUDY/OVERCAST,DISREGARDING TRAFFIC SIGNALS,16
2016,CLOUDY/OVERCAST,DISREGARDING YIELD SIGN,2
2016,CLOUDY/OVERCAST,DISTRACTION - FROM INSIDE VEHICLE,14
2016,CLOUDY/OVERCAST,DISTRACTION - FROM OUTSIDE VEHICLE,6
2016,CLOUDY/OVERCAST,DRIVING ON WRONG SIDE/WRONG WAY,2
2016,CLOUDY/OVERCAST,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,44
2016,CLOUDY/OVERCAST,EQUIPMENT - VEHICLE CONDITION,6
2016,CLOUDY/OVERCAST,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",1
2016,CLOUDY/OVERCAST,EXCEEDING AUTHORIZED SPEED LIMIT,4
2016,CLOUDY/OVERCAST,EXCEEDING SAFE SPEED FOR CONDITIONS,2
2016,CLOUDY/OVERCAST,FAILING TO REDUCE SPEED TO AVOID CRASH,27
2016,CLOUDY/OVERCAST,FAILING TO YIELD RIGHT-OF-WAY,116
2016,CLOUDY/OVERCAST,FOLLOWING TOO CLOSELY,140
2016,CLOUDY/OVERCAST,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),2
2016,CLOUDY/OVERCAST,IMPROPER BACKING,47
2016,CLOUDY/OVERCAST,IMPROPER LANE USAGE,49
2016,CLOUDY/OVERCAST,IMPROPER OVERTAKING/PASSING,64
2016,CLOUDY/OVERCAST,IMPROPER TURNING/NO SIGNAL,33
2016,CLOUDY/OVERCAST,NOT APPLICABLE,32
2016,CLOUDY/OVERCAST,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",16
2016,CLOUDY/OVERCAST,PHYSICAL CONDITION OF DRIVER,5
2016,CLOUDY/OVERCAST,ROAD CONSTRUCTION/MAINTENANCE,4
2016,CLOUDY/OVERCAST,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,3
2016,CLOUDY/OVERCAST,TURNING RIGHT ON RED,1
2016,CLOUDY/OVERCAST,UNABLE TO DETERMINE,412
2016,CLOUDY/OVERCAST,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),2
2016,CLOUDY/OVERCAST,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",4
2016,CLOUDY/OVERCAST,WEATHER,12
2016,FOG/SMOKE/HAZE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2
2016,FOG/SMOKE/HAZE,EXCEEDING AUTHORIZED SPEED LIMIT,1
2016,FOG/SMOKE/HAZE,EXCEEDING SAFE SPEED FOR CONDITIONS,2
2016,FOG/SMOKE/HAZE,FAILING TO REDUCE SPEED TO AVOID CRASH,3
2016,FOG/SMOKE/HAZE,FAILING TO YIELD RIGHT-OF-WAY,1
2016,FOG/SMOKE/HAZE,FOLLOWING TOO CLOSELY,10
2016,FOG/SMOKE/HAZE,IMPROPER BACKING,6
2016,FOG/SMOKE/HAZE,IMPROPER LANE USAGE,2
2016,FOG/SMOKE/HAZE,IMPROPER OVERTAKING/PASSING,5
2016,FOG/SMOKE/HAZE,NOT APPLICABLE,2
2016,FOG/SMOKE/HAZE,UNABLE TO DETERMINE,17
2016,FOG/SMOKE/HAZE,WEATHER,1
2016,OTHER,DISREGARDING ROAD MARKINGS,1
2016,OTHER,DISREGARDING STOP SIGN,1
2016,OTHER,DISREGARDING TRAFFIC SIGNALS,2
2016,OTHER,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,3
2016,OTHER,EXCEEDING AUTHORIZED SPEED LIMIT,2
2016,OTHER,EXCEEDING SAFE SPEED FOR CONDITIONS,1
2016,OTHER,FAILING TO YIELD RIGHT-OF-WAY,7
2016,OTHER,FOLLOWING TOO CLOSELY,12
2016,OTHER,IMPROPER BACKING,3
2016,OTHER,IMPROPER LANE USAGE,4
2016,OTHER,IMPROPER OVERTAKING/PASSING,3
2016,OTHER,IMPROPER TURNING/NO SIGNAL,3
2016,OTHER,NOT APPLICABLE,4
2016,OTHER,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",1
2016,OTHER,ROAD CONSTRUCTION/MAINTENANCE,1
2016,OTHER,UNABLE TO DETERMINE,46
2016,OTHER,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",1
2016,OTHER,WEATHER,15
2016,RAIN,ANIMAL,1
2016,RAIN,CELL PHONE USE OTHER THAN TEXTING,3
2016,RAIN,DISREGARDING OTHER TRAFFIC SIGNS,6
2016,RAIN,DISREGARDING ROAD MARKINGS,1
2016,RAIN,DISREGARDING STOP SIGN,42
2016,RAIN,DISREGARDING TRAFFIC SIGNALS,45
2016,RAIN,DISTRACTION - FROM INSIDE VEHICLE,22
2016,RAIN,DISTRACTION - FROM OUTSIDE VEHICLE,7
2016,RAIN,DRIVING ON WRONG SIDE/WRONG WAY,8
2016,RAIN,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,107
2016,RAIN,EQUIPMENT - VEHICLE CONDITION,13
2016,RAIN,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",3
2016,RAIN,EXCEEDING AUTHORIZED SPEED LIMIT,21
2016,RAIN,EXCEEDING SAFE SPEED FOR CONDITIONS,52
2016,RAIN,FAILING TO REDUCE SPEED TO AVOID CRASH,109
2016,RAIN,FAILING TO YIELD RIGHT-OF-WAY,344
2016,RAIN,FOLLOWING TOO CLOSELY,542
2016,RAIN,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),2
2016,RAIN,IMPROPER BACKING,126
2016,RAIN,IMPROPER LANE USAGE,156
2016,RAIN,IMPROPER OVERTAKING/PASSING,168
2016,RAIN,IMPROPER TURNING/NO SIGNAL,124
2016,RAIN,NOT APPLICABLE,172
2016,RAIN,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",22
2016,RAIN,PHYSICAL CONDITION OF DRIVER,12
2016,RAIN,ROAD CONSTRUCTION/MAINTENANCE,8
2016,RAIN,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,10
2016,RAIN,TURNING RIGHT ON RED,1
2016,RAIN,UNABLE TO DETERMINE,1182
2016,RAIN,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),7
2016,RAIN,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",13
2016,RAIN,WEATHER,219
2016,SEVERE CROSS WIND GATE,EXCEEDING SAFE SPEED FOR CONDITIONS,1
2016,SEVERE CROSS WIND GATE,FAILING TO YIELD RIGHT-OF-WAY,2
2016,SEVERE CROSS WIND GATE,IMPROPER BACKING,1
2016,SEVERE CROSS WIND GATE,IMPROPER LANE USAGE,1
2016,SEVERE CROSS WIND GATE,IMPROPER OVERTAKING/PASSING,1
2016,SEVERE CROSS WIND GATE,NOT APPLICABLE,3
2016,SEVERE CROSS WIND GATE,ROAD CONSTRUCTION/MAINTENANCE,1
2016,SEVERE CROSS WIND GATE,UNABLE TO DETERMINE,1
2016,SEVERE CROSS WIND GATE,WEATHER,5
2016,SLEET/HAIL,DISREGARDING OTHER TRAFFIC SIGNS,1
2016,SLEET/HAIL,DISREGARDING TRAFFIC SIGNALS,2
2016,SLEET/HAIL,DRIVING ON WRONG SIDE/WRONG WAY,1
2016,SLEET/HAIL,EXCEEDING SAFE SPEED FOR CONDITIONS,1
2016,SLEET/HAIL,FAILING TO REDUCE SPEED TO AVOID CRASH,1
2016,SLEET/HAIL,FAILING TO YIELD RIGHT-OF-WAY,5
2016,SLEET/HAIL,FOLLOWING TOO CLOSELY,7
2016,SLEET/HAIL,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),1
2016,SLEET/HAIL,IMPROPER BACKING,2
2016,SLEET/HAIL,IMPROPER LANE USAGE,2
2016,SLEET/HAIL,IMPROPER OVERTAKING/PASSING,3
2016,SLEET/HAIL,NOT APPLICABLE,2
2016,SLEET/HAIL,UNABLE TO DETERMINE,10
2016,SLEET/HAIL,WEATHER,6
2016,SNOW,ANIMAL,1
2016,SNOW,DISREGARDING OTHER TRAFFIC SIGNS,1
2016,SNOW,DISREGARDING ROAD MARKINGS,2
2016,SNOW,DISREGARDING STOP SIGN,10
2016,SNOW,DISREGARDING TRAFFIC SIGNALS,11
2016,SNOW,DISTRACTION - FROM INSIDE VEHICLE,2
2016,SNOW,DISTRACTION - FROM OUTSIDE VEHICLE,2
2016,SNOW,DRIVING ON WRONG SIDE/WRONG WAY,8
2016,SNOW,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,48
2016,SNOW,EQUIPMENT - VEHICLE CONDITION,3
2016,SNOW,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",4
2016,SNOW,EXCEEDING AUTHORIZED SPEED LIMIT,9
2016,SNOW,EXCEEDING SAFE SPEED FOR CONDITIONS,31
2016,SNOW,FAILING TO REDUCE SPEED TO AVOID CRASH,28
2016,SNOW,FAILING TO YIELD RIGHT-OF-WAY,91
2016,SNOW,FOLLOWING TOO CLOSELY,168
2016,SNOW,IMPROPER BACKING,51
2016,SNOW,IMPROPER LANE USAGE,47
2016,SNOW,IMPROPER OVERTAKING/PASSING,46
2016,SNOW,IMPROPER TURNING/NO SIGNAL,32
2016,SNOW,NOT APPLICABLE,60
2016,SNOW,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",9
2016,SNOW,PASSING STOPPED SCHOOL BUS,1
2016,SNOW,PHYSICAL CONDITION OF DRIVER,3
2016,SNOW,ROAD CONSTRUCTION/MAINTENANCE,5
2016,SNOW,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,6
2016,SNOW,UNABLE TO DETERMINE,452
2016,SNOW,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),5
2016,SNOW,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",5
2016,SNOW,WEATHER,212
2016,UNKNOWN,ANIMAL,1
2016,UNKNOWN,BICYCLE ADVANCING LEGALLY ON RED LIGHT,2
2016,UNKNOWN,CELL PHONE USE OTHER THAN TEXTING,2
2016,UNKNOWN,DISREGARDING OTHER TRAFFIC SIGNS,4
2016,UNKNOWN,DISREGARDING STOP SIGN,6
2016,UNKNOWN,DISREGARDING TRAFFIC SIGNALS,12
2016,UNKNOWN,DISTRACTION - FROM INSIDE VEHICLE,4
2016,UNKNOWN,DISTRACTION - FROM OUTSIDE VEHICLE,4
2016,UNKNOWN,DRIVING ON WRONG SIDE/WRONG WAY,5
2016,UNKNOWN,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,59
2016,UNKNOWN,EQUIPMENT - VEHICLE CONDITION,1
2016,UNKNOWN,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",1
2016,UNKNOWN,EXCEEDING AUTHORIZED SPEED LIMIT,5
2016,UNKNOWN,EXCEEDING SAFE SPEED FOR CONDITIONS,2
2016,UNKNOWN,FAILING TO REDUCE SPEED TO AVOID CRASH,18
2016,UNKNOWN,FAILING TO YIELD RIGHT-OF-WAY,77
2016,UNKNOWN,FOLLOWING TOO CLOSELY,175
2016,UNKNOWN,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),1
2016,UNKNOWN,IMPROPER BACKING,92
2016,UNKNOWN,IMPROPER LANE USAGE,44
2016,UNKNOWN,IMPROPER OVERTAKING/PASSING,109
2016,UNKNOWN,IMPROPER TURNING/NO SIGNAL,43
2016,UNKNOWN,MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,1
2016,UNKNOWN,NOT APPLICABLE,338
2016,UNKNOWN,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",9
2016,UNKNOWN,PHYSICAL CONDITION OF DRIVER,3
2016,UNKNOWN,ROAD CONSTRUCTION/MAINTENANCE,4
2016,UNKNOWN,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,6
2016,UNKNOWN,UNABLE TO DETERMINE,1582
2016,UNKNOWN,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",4
2016,UNKNOWN,WEATHER,4
2017,CLEAR,ANIMAL,62
2017,CLEAR,BICYCLE ADVANCING LEGALLY ON RED LIGHT,12
2017,CLEAR,CELL PHONE USE OTHER THAN TEXTING,103
2017,CLEAR,DISREGARDING OTHER TRAFFIC SIGNS,120
2017,CLEAR,DISREGARDING ROAD MARKINGS,110
2017,CLEAR,DISREGARDING STOP SIGN,697
2017,CLEAR,DISREGARDING TRAFFIC SIGNALS,1025
2017,CLEAR,DISREGARDING YIELD SIGN,24
2017,CLEAR,DISTRACTION - FROM INSIDE VEHICLE,533
2017,CLEAR,DISTRACTION - FROM OUTSIDE VEHICLE,295
2017,CLEAR,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",32
2017,CLEAR,DRIVING ON WRONG SIDE/WRONG WAY,273
2017,CLEAR,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2102
2017,CLEAR,EQUIPMENT - VEHICLE CONDITION,375
